source_dataset,source_row_id,source_name,raw_smiles,canonical_smiles,inchikey,is_first_occurrence_of_structure
lnp_atlas,251,1-A3-7b2,NNCC1=CC(=C(OC(=O)CC(CC)CCCC)C(=C1)OC(=O)CC(CC)CCCC)OC(=O)CC(CC)CCCC,CCCCC(CC)CC(=O)Oc1cc(CNN)cc(OC(=O)CC(CC)CCCC)c1OC(=O)CC(CC)CCCC,NYESUSPCVZBEMA-UHFFFAOYSA-N,False
lnp_atlas,252,2-A3-7b2,NCCCCNCC1=CC(=C(OC(=O)CC(CC)CCCC)C(=C1)OC(=O)CC(CC)CCCC)OC(=O)CC(CC)CCCC,CCCCC(CC)CC(=O)Oc1cc(CNCCCCN)cc(OC(=O)CC(CC)CCCC)c1OC(=O)CC(CC)CCCC,MLTOEWMUAUWTRO-UHFFFAOYSA-N,False
lnp_atlas,253,3-A3-7b2,NC1CCN(CC1)CC2=CC(=C(OC(=O)CC(CC)CCCC)C(=C2)OC(=O)CC(CC)CCCC)OC(=O)CC(CC)CCCC,CCCCC(CC)CC(=O)Oc1cc(CN2CCC(N)CC2)cc(OC(=O)CC(CC)CCCC)c1OC(=O)CC(CC)CCCC,HHQYWFRSLBECIJ-UHFFFAOYSA-N,False
lnp_atlas,254,4-A3-7b2,NCCN1CCN(CC1)CC2=CC(=C(OC(=O)CC(CC)CCCC)C(=C2)OC(=O)CC(CC)CCCC)OC(=O)CC(CC)CCCC,CCCCC(CC)CC(=O)Oc1cc(CN2CCN(CCN)CC2)cc(OC(=O)CC(CC)CCCC)c1OC(=O)CC(CC)CCCC,KIQXHBYOCVIJTO-UHFFFAOYSA-N,False
lnp_atlas,255,11-A3-7b2,NCCCN(CC1=CC(=C(OC(=O)CC(CC)CCCC)C(=C1)OC(=O)CC(CC)CCCC)OC(=O)CC(CC)CCCC)CCN,CCCCC(CC)CC(=O)Oc1cc(CN(CCN)CCCN)cc(OC(=O)CC(CC)CCCC)c1OC(=O)CC(CC)CCCC,NABMGRVFRHIORC-UHFFFAOYSA-N,False
lnp_atlas,256,12-A3-7b2,NCCN(CC1=CC(=C(OC(=O)CC(CC)CCCC)C(=C1)OC(=O)CC(CC)CCCC)OC(=O)CC(CC)CCCC)CCCN,CCCCC(CC)CC(=O)Oc1cc(CN(CCN)CCCN)cc(OC(=O)CC(CC)CCCC)c1OC(=O)CC(CC)CCCC,NABMGRVFRHIORC-UHFFFAOYSA-N,False
lnp_atlas,257,1-A3-8b,NNCC1=CC(=C(OC(=O)CC(CC)CCCCC)C(=C1)OC(=O)CC(CC)CCCCC)OC(=O)CC(CC)CCCCC,CCCCCC(CC)CC(=O)Oc1cc(CNN)cc(OC(=O)CC(CC)CCCCC)c1OC(=O)CC(CC)CCCCC,UTIIOWPJEHWQNE-UHFFFAOYSA-N,True
lnp_atlas,258,2-A3-8b,NCCCCNCC1=CC(=C(OC(=O)CC(CC)CCCCC)C(=C1)OC(=O)CC(CC)CCCCC)OC(=O)CC(CC)CCCCC,CCCCCC(CC)CC(=O)Oc1cc(CNCCCCN)cc(OC(=O)CC(CC)CCCCC)c1OC(=O)CC(CC)CCCCC,PEOGXCCDCCNWIP-UHFFFAOYSA-N,True
lnp_atlas,259,3-A3-8b,NC1CCN(CC1)CC2=CC(=C(OC(=O)CC(CC)CCCCC)C(=C2)OC(=O)CC(CC)CCCCC)OC(=O)CC(CC)CCCCC,CCCCCC(CC)CC(=O)Oc1cc(CN2CCC(N)CC2)cc(OC(=O)CC(CC)CCCCC)c1OC(=O)CC(CC)CCCCC,BMZATKHGFQQPRC-UHFFFAOYSA-N,True
lnp_atlas,260,4-A3-8b,NCCN1CCN(CC1)CC2=CC(=C(OC(=O)CC(CC)CCCCC)C(=C2)OC(=O)CC(CC)CCCCC)OC(=O)CC(CC)CCCCC,CCCCCC(CC)CC(=O)Oc1cc(CN2CCN(CCN)CC2)cc(OC(=O)CC(CC)CCCCC)c1OC(=O)CC(CC)CCCCC,RSVGIGNBFVOHHI-UHFFFAOYSA-N,True
